Product type,Product,Revenue,Quantity,Gross margin
Eyewear,Inferno,37830,582,0.39393762
Eyewear,Maximus,45965,566,0.50212553
Eyewear,Trendi,21478.1,427,0.39539112
Eyewear,Zone,134472.6,4401,0.32463796
Eyewear,Hawk Eye,8100,200,0.40918025
Knives,Bear Survival Edge,13148.23,150,0.48662291
Knives,Max Gizmo,20780.8,544,0.53960675
Knives,Pocket Gizmo,10675,875,0.60327681
Binoculars,Seeker 35,62746.98,634,0.28069112
Binoculars,Seeker 50,86477.16,686,0.26558782
Binoculars,Opera Vision,15180,138,0.54206983
Binoculars,Ranger Vision,14720,92,0.43611413
Navigation,Glacier Basic,70560.39,2257,0.36026431
Navigation,Glacier GPS,38515.23,351,0.28415201
Navigation,Trail Scout,9758,41,0.35798319
Insect Repellents,BugShield Spray,15770.85,2661,0.6912259
Insect Repellents,BugShield Lotion Lite,19841.22,2865,0.72853484
Insect Repellents,BugShield Lotion,31651.62,4637,0.65865223
Sunscreen,Sun Blocker,9600,2000,0.59375
Sunscreen,Sun Shelter 15,15681.6,3267,0.62708333
Sunscreen,Sun Shelter 30,37185.25,7865,0.6087091
Sunscreen,Sun Shield,11871.24,2034,0.52710585
First Aid,Compact Relief Kit,3223.22,143,0.60070985
First Aid,Deluxe Family Relief Kit,33600,988,0.58715714
First Aid,Calamine Relief,1410,235,0.52833333
First Aid,Aloe Relief,2991.56,572,0.63288719
First Aid,Insect Bite Relief,2550,425,0.54
Irons,Hailstorm Steel Irons,251088.26,691,0.3918035
Irons,Lady Hailstorm Steel Irons,166262.28,332,0.44535634
Woods,Hailstorm Steel Woods Set,384143.28,559,0.50290839
Woods,Lady Hailstorm Steel Woods Set,109589.76,128,0.44845066
Putters,Course Pro Putter,247817.5,3430,0.51695502
Putters,Blue Steel Putter,120795.44,1420,0.51567708
Golf Accessories,Course Pro Golf and Tee Set,34097.88,3433,0.71809391
Golf Accessories,Course Pro Umbrella,46281.09,3890,0.49569036
Golf Accessories,Course Pro Golf Bag,40807.13,202,0.60547581
Golf Accessories,Course Pro Gloves,14307.48,1386,0.7665375
Cooking Gear,TrailChef Cook Set,135565,2610,0.32673109
Cooking Gear,TrailChef Deluxe Cook Set,174983.9,1435,0.34754797
Cooking Gear,TrailChef Utensils,54387.11,2973,0.45336312
Tents,Star Lite,1210413.68,3479,0.28144401
Tents,Star Gazer 2,603311.94,1102,0.28293788
Tents,Star Gazer 3,364026.52,572,0.3306202
Sleeping Bags,Hibernator Extreme,348672.77,1399,0.39814629
Lanterns,Firefly Mapreader,42652.74,2762,0.51433366
Lanterns,Firefly Extreme,32205.6,648,0.43420523
Lanterns,EverGlow Single,49176.28,1483,0.45597105
Knives,Single Edge,145573.21,12121,0.28726062
Knives,Double Edge,38931.57,2448,0.28128663
Knives,Bear Edge,37335.7,957,0.39687189
Navigation,Glacier Deluxe,96814.2,1068,0.37970215
Insect Repellents,BugShield Natural,52686.84,9305,0.67150621
Sunscreen,Sun Shelter Stick,14711,3130,0.58297872
Sunscreen,Sun Shelter 15,55264.8,11690,0.62136658
Sunscreen,Sun Shield,27915.18,4906,0.51493918
First Aid,Compact Relief Kit,14425.6,640,0.60070985
Cooking Gear,TrailChef Water Bag,33006.2,8356,0.46582278
Cooking Gear,TrailChef Kitchen Kit,20457.74,886,0.31009095
Cooking Gear,TrailChef Cup,5207.85,1467,0.76056338
Cooking Gear,TrailChef Double Flame,34238.4,240,0.4742745
Cooking Gear,TrailChef Utensils,24909.4,1345,0.4600432
Sleeping Bags,Hibernator Lite,54957.32,649,0.29145017
Sleeping Bags,Hibernator Extreme,77759.76,312,0.39814629
Packs,Canyon Mule Extreme Backpack,55842.81,129,0.4481739
Packs,Canyon Mule Carryall,36548.61,529,0.40396584
Lanterns,Firefly Lite,8741.3,610,0.52896022
Lanterns,Firefly Mapreader,11992.2,759,0.52531646
Lanterns,EverGlow Kerosene,10079.92,326,0.35316947
Lanterns,EverGlow Butane,7958.75,125,0.36186587
Rope,Husky Rope 50,20905.6,139,0.32905585
Rope,Husky Rope 200,32969.28,61,0.31477575
Safety,Granite Climbing Helmet,63230.04,909,0.24468085
Safety,Husky Harness,34949.2,572,0.28363339
Safety,Husky Harness Extreme,44875.6,434,0.47843327
Safety,Granite Signal Mirror,4074.84,126,0.51422387
Climbing Accessories,Granite Carabiner,28722.64,7639,0.4787234
Climbing Accessories,Granite Belay,39216.8,596,0.47613982
Climbing Accessories,Granite Pulley,19881.6,545,0.49698465
Climbing Accessories,Firefly Climbing Lamp,9658.71,249,0.42768755
Climbing Accessories,Firefly Charger,17784.4,346,0.56498054
Climbing Accessories,Firefly Rechargeable Battery,11857.92,1544,0.58984375
Climbing Accessories,Granite Chalk Bag,4692.24,266,0.51643991
Tools,Granite Ice,28952,385,0.48178191
Tools,Granite Hammer,19321.26,257,0.2434158
Tools,Granite Shovel,10416.01,179,0.33699948
Tools,Granite Grip,9816.4,506,0.49020619
Tools,Granite Axe,30912,805,0.49166667
Tools,Granite Extreme,89788.8,1194,0.38138298
Watches,Mountain Man Analog,4694.2,98,0.3736952
Watches,Mountain Man Combination,5551.31,59,0.52173451
Watches,Venue,39416,548,0.41927745
Watches,Infinity,18860,84,0.46155143
Watches,Lux,16692.8,98,0.47484904
Watches,Sam,13380.2,298,0.38841871
Watches,TX,66232,351,0.45314319
Watches,Legend,59893.6,232,0.43754258
Watches,Kodiak,23066.5,189,0.45080008
Eyewear,Polar Extreme,2179.95,15,0.50113535
Eyewear,Bella,1080,16,0.45417593
Eyewear,Capri,2374.6,62,0.34020888
Eyewear,Cat Eye,55922.7,1864,0.32482248
Eyewear,Dante,32228.95,751,0.35601532
Eyewear,Fairway,11646.7,578,0.40441069
Eyewear,Maximus,31510,387,0.50259759
Eyewear,Trendi,28017.1,557,0.39555057
Eyewear,Zone,86166.9,2802,0.32764797
Eyewear,Hawk Eye,4293,106,0.39901235
Knives,Max Gizmo,9206.2,241,0.53979058
Knives,Pocket Gizmo,11260.6,923,0.59836066
Binoculars,Seeker Extreme,13908.51,81,0.45186652
Binoculars,Seeker Mini,9812.46,122,0.50267313
Binoculars,Opera Vision,6160,56,0.544
Binoculars,Ranger Vision,11040,69,0.42833152
Navigation,Glacier GPS,38624.96,352,0.28415201
Navigation,Glacier GPS Extreme,39548.34,117,0.4779303
Navigation,Trail Master,22995,63,0.34825788
Navigation,Trail Scout,5950,25,0.35798319
Insect Repellents,BugShield Extreme,22891.82,3479,0.63221884
Sunscreen,Sun Shelter 30,13352.7,2841,0.60638298
First Aid,Compact Relief Kit,3448.62,153,0.60070985
Watches,Mountain Man Analog,34087.79,719,0.36722211
Eyewear,Polar Sun,39812.66,668,0.56124007
Eyewear,Polar Ice,25908.3,249,0.52243837
Eyewear,Polar Sports,19377.12,168,0.48950928
Eyewear,Polar Wave,7590.51,81,0.56119945
Eyewear,Polar Extreme,4795.89,33,0.50113535
Binoculars,Seeker 35,29196.15,295,0.28069112
Binoculars,Seeker Extreme,14423.64,84,0.45186652
Navigation,Glacier GPS,40270.91,367,0.28415201
Cooking Gear,TrailChef Water Bag,17938.62,2898,0.5266559
Cooking Gear,TrailChef Canteen,35980.74,3382,0.47020434
Cooking Gear,TrailChef Single Flame,190288.32,3032,0.26099426
Cooking Gear,TrailChef Utensils,5688.9,301,0.47089947
Tents,Star Lite,189268.48,544,0.28144401
Tents,Star Gazer 2,182854.98,334,0.28293788
Tents,Star Gazer 3,170557.88,268,0.3306202
Tents,Star Gazer 6,31278.8,40,0.3733775
Tents,Star Peg,4802,2450,0.48979592
Sleeping Bags,Hibernator,145611.1,1055,0.3769019
Sleeping Bags,Hibernator Self - Inflating Mat,54312.02,454,0.5440107
Packs,Canyon Mule Climber Backpack,6840.54,89,0.31693989
Packs,Canyon Mule Extreme Backpack,63634.83,147,0.4481739
Packs,Canyon Mule Cooler,27269.46,837,0.50890117
Packs,Canyon Mule Carryall,31988.67,463,0.40396584
Lanterns,Firefly 4,18109.95,769,0.38853503
Lanterns,Firefly Extreme,8946,180,0.43420523
Lanterns,EverGlow Kerosene,9183.24,297,0.35316947
Lanterns,EverGlow Butane,8022.42,126,0.36186587
Lanterns,EverGlow Lamp,25684.96,952,0.33395107
Lanterns,Flicker Lantern,7148.4,210,0.54112808
Watches,Mountain Man Analog,5831.43,123,0.36722211
Watches,Mountain Man Digital,2592.57,89,0.31342259
Watches,Mountain Man Combination,5645.4,60,0.52173451
Watches,Mountain Man Extreme,13564.8,48,0.5888535
Watches,Venue,7140,102,0.41971429
Watches,Infinity,7260,33,0.47472727
Watches,Lux,8192.8,49,0.47703349
Watches,Sam,7453.4,166,0.38841871
Watches,TX,27636,144,0.45761543
Watches,Legend,18596.6,71,0.44619231
Watches,Kodiak,12685.8,104,0.4505384
Eyewear,Polar Sun,17360.42,288,0.56618561
Eyewear,Polar Ice,4032.6,39,0.51943907
Eyewear,Bella,7762.5,115,0.4557037
Eyewear,Capri,8732.4,228,0.34020888
Eyewear,Cat Eye,22337.45,614,0.33994883
Eyewear,Dante,30631.5,718,0.35748755
Eyewear,Inferno,7670,118,0.39461538
Eyewear,Zone,35687.9,1169,0.32486725
Eyewear,Hawk Eye,7290,180,0.39975309
Knives,Double Edge,42436.68,2643,0.28812786
Knives,Edge Extreme,29252.6,260,0.28895209
Knives,Bear Edge,24837.6,632,0.40127226
Knives,Bear Survival Edge,6593,76,0.48126801
Knives,Pocket Gizmo,3623.4,297,0.61725727
Binoculars,Seeker 35,26721.9,270,0.28069112
Binoculars,Seeker Mini,34745.76,432,0.50267313
Binoculars,Ranger Vision,7200,45,0.5350625
Navigation,Glacier Basic,55322.82,1743,0.36988028
Navigation,Trail Master,8760,24,0.34767123
Navigation,Trail Scout,8330,35,0.35798319
Insect Repellents,BugShield Spray,5577.83,947,0.6893039
Sunscreen,Sun Shelter Stick,6503.85,1341,0.59587629
Sunscreen,Sun Shelter 30,14814.4,3152,0.60638298
First Aid,Calamine Relief,618,103,0.52833333
First Aid,Insect Bite Relief,276,46,0.54
Irons,Hailstorm Steel Irons,48967.42,113,0.49000785
Irons,Hailstorm Titanium Irons,73316.88,84,0.43751289
Irons,Lady Hailstorm Titanium Irons,56826.24,68,0.44955007
Woods,Hailstorm Steel Woods Set,63461.28,97,0.47786745
Putters,Blue Steel Putter,23777.55,285,0.50617284
Putters,Blue Steel Max Putter,40579.81,239,0.45933212
Golf Accessories,Course Pro Golf and Tee Set,9979.44,1060,0.70258852
Golf Accessories,Course Pro Umbrella,13173.3,1164,0.46983672
Golf Accessories,Course Pro Golf Bag,28456.27,142,0.602288
Cooking Gear,TrailChef Canteen,11839.5,1350,0.49600912
Cooking Gear,TrailChef Kettle,40133.73,5061,0.49684741
Tents,Star Dome,100341.76,164,0.35277197
Tents,Star Peg,4617.76,2356,0.48979592
Sleeping Bags,Hibernator,67767.82,491,0.3769019
Packs,Canyon Mule Weekender Backpack,83040.66,309,0.37984669
Packs,Canyon Mule Journey Backpack,97262.19,279,0.38805542
Packs,Canyon Mule Cooler,26357.22,809,0.50890117
Lanterns,Firefly Mapreader,12671.6,802,0.52531646
Lanterns,Firefly 2,12873.6,480,0.37844892
Lanterns,Firefly 4,8424.2,292,0.37608319
Watches,Mountain Man Analog,6068.48,128,0.36722211
Watches,Mountain Man Deluxe,7742.66,101,0.49126011
Navigation,Glacier GPS,39173.61,357,0.28415201
Insect Repellents,BugShield Lotion Lite,3491.74,509,0.72594752
Sunscreen,Sun Shield,7356.48,1264,0.5257732
First Aid,Aloe Relief,711.28,136,0.63288719
Irons,Hailstorm Steel Irons,87322.62,237,0.40018978
Irons,Lady Hailstorm Steel Irons,33052.14,66,0.44535634
Woods,Hailstorm Steel Woods Set,128801.76,188,0.50139812
Woods,Lady Hailstorm Steel Woods Set,46233.18,54,0.44845066
Putters,Course Pro Putter,108158.25,1497,0.51695502
Putters,Blue Steel Putter,25601.62,298,0.5204366
Golf Accessories,Course Pro Golf and Tee Set,9907.2,960,0.72868217
Golf Accessories,Course Pro Umbrella,12435.3,1011,0.51219512
Golf Accessories,Course Pro Golf Bag,20407.86,99,0.61336955
Golf Accessories,Course Pro Gloves,5828.79,561,0.7680462
Cooking Gear,TrailChef Water Bag,35850.2,9076,0.46582278
Cooking Gear,TrailChef Deluxe Cook Set,65359.84,536,0.34754797
Cooking Gear,TrailChef Double Flame,39516.82,277,0.4742745
Cooking Gear,TrailChef Utensils,6237,330,0.47089947
Tents,Star Lite,157607.76,453,0.28144401
Sleeping Bags,Hibernator Extreme,82744.36,332,0.39814629
Sleeping Bags,Hibernator Pad,14510.24,368,0.51382196
Packs,Canyon Mule Extreme Backpack,57574.37,133,0.4481739
Rope,Husky Rope 50,22108.8,147,0.32905585
Rope,Husky Rope 60,29647.6,166,0.29165733
Rope,Husky Rope 100,81790.86,251,0.30126435
Rope,Husky Rope 200,75126.72,139,0.31477575
Climbing Accessories,Granite Carabiner,15987.52,4252,0.4787234
Climbing Accessories,Granite Belay,20595.4,313,0.47613982
Climbing Accessories,Granite Pulley,16623.86,451,0.50217037
Climbing Accessories,Firefly Climbing Lamp,8999.28,232,0.42768755
Climbing Accessories,Firefly Charger,20097.4,391,0.56498054
Climbing Accessories,Firefly Rechargeable Battery,11500.32,1482,0.59407216
Climbing Accessories,Granite Chalk Bag,4163.04,236,0.51643991
Tools,Granite Grip,21010.2,1083,0.49020619
Tools,Granite Axe,94907.2,2506,0.48457946
Tools,Granite Extreme,143481.6,1908,0.38138298
Eyewear,Polar Sun,5429.36,92,0.55689068
Eyewear,Polar Sports,8650.5,75,0.48950928
Eyewear,Polar Extreme,1993.18,14,0.4907635
Knives,Edge Extreme,64018.19,569,0.28895209
Binoculars,Seeker Extreme,14423.64,84,0.45186652
Navigation,Glacier GPS,40929.29,373,0.28415201
Navigation,Glacier GPS Extreme,83828.96,248,0.4779303
Insect Repellents,BugShield Lotion Lite,3457.44,504,0.72594752
Insect Repellents,BugShield Extreme,49152.6,7470,0.63221884
Sunscreen,Sun Shield,7129.5,1225,0.5257732
First Aid,Compact Relief Kit,3967.04,176,0.60070985
First Aid,Aloe Relief,695.59,133,0.63288719
First Aid,Insect Bite Relief,756,126,0.54
Watches,Mountain Man Analog,5508.5,115,0.3736952
Eyewear,Polar Sun,6814.64,111,0.57405674
Eyewear,Polar Ice,3366,31,0.5423678
Eyewear,Polar Sports,5190.3,45,0.48950928
Eyewear,Polar Wave,1243.06,13,0.56996444
Binoculars,Seeker 35,12866.1,130,0.28069112
Watches,Venue,41596,574,0.4192105
Watches,Infinity,28460,126,0.45703514
Watches,Lux,8360,50,0.47703349
Watches,Sam,7543.2,168,0.38841871
Watches,TX,98512,513,0.45880908
Watches,Legend,42818.2,166,0.44495939
Watches,Kodiak,23891,189,0.46665606
Eyewear,Bella,14985,222,0.4557037
Eyewear,Capri,26120.6,682,0.34139568
Eyewear,Cat Eye,95650.35,3048,0.32840988
Eyewear,Dante,62242.35,1451,0.35579135
Eyewear,Fairway,29237.65,1451,0.40378861
Eyewear,Inferno,44576.45,700,0.4253174
Eyewear,Maximus,45915,570,0.49786715
Eyewear,Trendi,21578.7,429,0.39525921
Eyewear,Zone,70464.7,2302,0.32717588
Eyewear,Hawk Eye,29484,728,0.40053453
Knives,Max Gizmo,12262.2,321,0.53979058
Knives,Pocket Gizmo,16811.6,1378,0.59992148
Binoculars,Opera Vision,15070,137,0.541
Binoculars,Ranger Vision,31520,197,0.46574841
Navigation,Trail Master,27740,76,0.34866943
Irons,Hailstorm Steel Irons,34233.86,79,0.49000785
Irons,Hailstorm Titanium Irons,198130.14,227,0.43751289
Irons,Lady Hailstorm Steel Irons,64601.91,129,0.44535634
Irons,Lady Hailstorm Titanium Irons,228140.64,273,0.44955007
Woods,Hailstorm Titanium Woods Set,314237.66,263,0.42250716
Woods,Hailstorm Steel Woods Set,44488.32,68,0.47786745
Woods,Lady Hailstorm Titanium Woods Set,131648.42,103,0.48311609
Woods,Lady Hailstorm Steel Woods Set,212330.16,248,0.44845066
Putters,Course Pro Putter,62062.75,859,0.51695502
Putters,Blue Steel Max Putter,141774.65,835,0.45933212
Golf Accessories,Course Pro Golf and Tee Set,18689.52,1811,0.72868217
Golf Accessories,Course Pro Umbrella,24046.22,1945,0.51468464
Golf Accessories,Course Pro Golf Bag,10719.28,52,0.61336955
Golf Accessories,Course Pro Gloves,45097.79,6825,0.63527592
Cooking Gear,TrailChef Cup,10651.66,3018,0.7591643
Cooking Gear,TrailChef Cook Set,45031.42,854,0.33681016
Cooking Gear,TrailChef Single Flame,44685.12,712,0.26099426
Cooking Gear,TrailChef Kettle,36002.2,4540,0.49684741
Tents,Star Gazer 6,78197,100,0.3733775
Sleeping Bags,Hibernator Pad,16008.58,406,0.51382196
Sleeping Bags,Hibernator Pillow,6920,400,0.52947977
Sleeping Bags,Hibernator Camp Cot,30936.15,315,0.33560737
Packs,Canyon Mule Climber Backpack,6763.68,88,0.31693989
Packs,Canyon Mule Weekender Backpack,84653.1,315,0.37984669
Packs,Canyon Mule Journey Backpack,89941.38,258,0.38805542
Lanterns,Firefly Lite,8898.93,621,0.52896022
Lanterns,Firefly 2,29098.8,1096,0.37212806
Lanterns,Firefly Multi-light,7386.84,284,0.31641676
Lanterns,EverGlow Double,2555.5,50,0.43748777
Lanterns,EverGlow Kerosene,9677.96,313,0.35316947
Lanterns,EverGlow Butane,7385.72,116,0.36186587
Watches,Mountain Man Analog,7301.14,154,0.36722211
Watches,Mountain Man Digital,6962.68,197,0.43412594
Watches,Mountain Man Deluxe,9122.54,119,0.49126011
Watches,Venue,116368,1618,0.4195473
Watches,Infinity,97400,416,0.43306817
Watches,Lux,7858.4,47,0.47882775
Watches,Sam,12976.1,289,0.38841871
Watches,TX,247928,1323,0.45168073
Watches,Legend,212125.8,852,0.44570976
Watches,Kodiak,84741.1,677,0.46201595
Eyewear,Polar Sun,7849.02,129,0.57022023
Eyewear,Polar Ice,6279.9,60,0.52524722
Eyewear,Bella,34087.5,505,0.45412893
Eyewear,Capri,82459.9,2153,0.34148271
Eyewear,Cat Eye,105837.2,3827,0.31828724
Eyewear,Dante,193513.9,4478,0.35317732
Eyewear,Fairway,42919.5,2130,0.40298839
Eyewear,Inferno,83231.1,1294,0.41009154
Eyewear,Maximus,56055,694,0.49865132
Eyewear,Trendi,89785.5,1785,0.39561822
Eyewear,Zone,167460.5,5420,0.32884101
Eyewear,Hawk Eye,29929.5,739,0.42281628
Knives,Double Edge,11895.18,737,0.29182156
Knives,Max Gizmo,21162.8,554,0.53979058
Knives,Pocket Gizmo,34038,2790,0.61187291
Binoculars,Opera Vision,14630,133,0.544
Binoculars,Ranger Vision,35040,219,0.43913784
Navigation,Glacier Basic,28375.56,894,0.36988028
Navigation,Glacier Deluxe,12147.1,134,0.37970215
Navigation,Trail Master,39420,108,0.34731405
Navigation,Trail Scout,44744,188,0.35573105
Navigation,Trail Star,70686,459,0.42460317
Insect Repellents,BugShield Lotion Lite,6726.16,971,0.72859997
Insect Repellents,BugShield Lotion,13335.84,1944,0.66034985
Sunscreen,Sun Blocker,4591.3,937,0.60204082
Sunscreen,Sun Shelter 15,7516.8,1566,0.62708333
Sunscreen,Sun Shelter 30,14419.6,3068,0.60638298
First Aid,Deluxe Family Relief Kit,11610.9,342,0.58645066
First Aid,Calamine Relief,720,120,0.52833333
First Aid,Aloe Relief,779.27,149,0.63288719
Irons,Hailstorm Steel Irons,30767.14,83,0.40381199
Irons,Hailstorm Titanium Irons,130050.18,149,0.43751289
Irons,Lady Hailstorm Steel Irons,65102.7,130,0.44535634
Irons,Lady Hailstorm Titanium Irons,112816.8,135,0.44955007
Woods,Hailstorm Titanium Woods Set,217457.24,182,0.42250716
Woods,Hailstorm Steel Woods Set,56264.64,83,0.49608138
Woods,Lady Hailstorm Titanium Woods Set,66463.28,52,0.48311609
Woods,Lady Hailstorm Steel Woods Set,107877.42,126,0.44845066
Putters,Course Pro Putter,56571.75,783,0.51695502
Putters,Blue Steel Putter,25696.19,305,0.51097809
Putters,Blue Steel Max Putter,89139.75,525,0.45933212
Golf Accessories,Course Pro Golf and Tee Set,9081.6,880,0.72868217
Golf Accessories,Course Pro Umbrella,12144.11,977,0.51729686
Golf Accessories,Course Pro Gloves,22146.65,3352,0.63523513
Cooking Gear,TrailChef Kitchen Kit,20896.45,905,0.31009095
Cooking Gear,TrailChef Deluxe Cook Set,52068.38,427,0.34754797
Cooking Gear,TrailChef Single Flame,44685.12,712,0.26099426
Cooking Gear,TrailChef Utensils,22316.6,1205,0.4600432
Sleeping Bags,Hibernator Self - Inflating Mat,47373.48,396,0.5440107
Sleeping Bags,Hibernator Pad,15693.14,398,0.51382196
Packs,Canyon Mule Weekender Backpack,72291.06,269,0.37984669
Lanterns,Firefly Mapreader,11344.4,718,0.52531646
Lanterns,Firefly Multi-light,12952.98,498,0.31641676
